token,frequency
shrink,1
progressively,2
accompanied,2
termination,2
takeorpay,1
adequate,2
complex,7
blending,9
hard,1
exiting,2
reallocate,1
offering,3
quicker,1
payment,44
refocus,1
several,3
just,1
importantly,1
mass,1
uniquely,1
vital,2
today,3
interregional,3
feature,3
driving,1
segment,30
exporter,2
building,10
demonstrating,2
ability,12
cargo,15
amongst,4
attractive,2
netback,1
handled,15
signing,1
departing,1
scope,9
barrier,2
entry,2
retrenchment,1
smaller,6
competitor,3
view,12
teamwork,1
attribute,6
bigger,1
tough,1
rapidlychanging,1
strengthen,2
streamline,1
interaction,2
internal,16
doubled,1
size,8
bolster,1
joined,6
page,4
promoted,1
alongside,2
larocca,1
refreshed,1
merged,3
middle,3
gasoil,4
fuel,16
prepare,1
big,4
marketplace,2
regulation,12
permitted,2
sulphur,4
emission,3
burning,1
bunker,5
decided,6
dedicated,5
inhouse,3
bunkering,2
showing,3
confident,2
booked,2
evolve,2
positively,1
tandem,1
wave,1
tremendous,1
intend,2
participate,3
fullest,1
extent,18
supplydemand,8
curb,2
applied,20
january,10
indeed,1
prospect,3
renewed,3
actually,1
field,2
fundamentally,1
changed,1
light,3
sweet,1
supplemented,3
arb,1
heavy,5
sour,1
replacement,2
featuring,2
fierce,1
squeeze,1
accentuated,2
regime,1
privatesector,1
responded,1
overhauling,1
offered,1
reshaped,2
fastdeveloping,1
emphasis,1
lucrative,1
selling,11
urals,1
formerly,1
distributor,1
acquired,19
shape,1
concluded,9
show,4
substantial,5
leadership,2
anchor,2
tenant,1
stream,5
late,1
licence,3
granted,10
hope,1
constructing,1
offshore,1
enabling,1
loading,7
carriers,1
question,2
choke,1
near,2
balanced,1
active,18
spread,10
aftermath,1
drawdown,5
modest,1
heavily,2
onset,1
sparked,1
transpacific,1
buildup,1
eastern,3
spike,1
job,1
capturing,2
upper,1
looking,13
timing,11
determining,9
additionally,3
watching,1
clean,1
generation,4
producing,2
proportion,5
power,17
switched,1
marine,1
kept,1
thin,2
focusing,2
area,9
facilitate,2
arising,21
force,3
owner,8
install,1
scrubber,3
procure,1
mix,5
spectrum,1
identify,5
address,1
enhanced,2
dialogue,3
unique,3
exacerbating,1
targeting,2
broadening,1
origination,1
exporting,3
exert,1
commensurate,2
indicated,6
unprecedented,1
multifaceted,1
sharing,1
contribute,1
necessary,8
naphtha,7
swelling,1
propane,1
maximise,3
condensates,1
collided,1
forced,1
firming,1
unconventional,1
pattern,2
restart,1
splitting,1
coast,4
ample,2
benefited,2
exit,1
bullish,1
handle,2
surge,2
cleanup,1
